日期,类型,城市名,id,AQI,PM2.5,PM10,SO2,NO2,CO,O3,等级,排名
1月1日,1,南昌,1,63,41,77,15,46,0.78,19,良,142
1月1日,1,赣州,2,72,51,84,10,39,1.05,55,良,195
1月1日,1,宜春,3,74,54,62,13,23,0.84,36,良,202
1月1日,1,吉安,4,67,46,84,16,31,1.25,40,良,168
1月1日,1,上饶,5,61,36,71,16,37,0.7,32,良,136
1月1日,1,抚州,6,60,35,70,13,31,0.75,32,良,129
1月1日,1,九江,7,69,46,62,13,40,0.6,18,良,175
1月1日,1,景德镇,8,49,27,50,8,22,0.6,37,优,85
1月1日,1,萍乡,9,98,71,118,30,41,1.65,20,良,289
1月1日,1,新余,10,66,43,83,25,39,0.81,27,良,163
1月1日,1,鹰潭,11,60,41,63,48,41,0.49,35,良,133
1月2日,1,南昌,1,86,64,85,8,46,0.91,10,良,184
1月2日,1,赣州,2,76,53,101,12,52,1.32,26,良,164
1月2日,1,宜春,3,72,52,64,15,24,0.79,46,良,147
1月2日,1,吉安,4,71,50,91,28,46,1.18,24,良,141
1月2日,1,上饶,5,76,50,103,23,53,0.86,21,良,159
1月2日,1,抚州,6,60,42,66,7,29,0.86,23,良,107
1月2日,1,九江,7,113,85,90,10,43,0.71,8,轻度污染,256
1月2日,1,景德镇,8,44,26,44,7,23,0.71,24,优,63
1月2日,1,萍乡,9,107,80,122,30,45,2.05,9,轻度污染,239
1月2日,1,新余,10,69,47,88,39,49,0.94,16,良,133
1月2日,1,鹰潭,11,90,67,75,50,46,0.73,21,良,197
1月3日,1,南昌,1,100,74,91,7,51,0.93,9,良,203
1月3日,1,赣州,2,75,54,88,17,31,1.18,47,良,151
1月3日,1,宜春,3,101,76,82,13,30,0.96,43,轻度污染,204
1月3日,1,吉安,4,75,54,92,28,53,1.19,17,良,152
1月3日,1,上饶,5,77,52,102,30,55,0.9,6,良,157
1月3日,1,抚州,6,87,64,89,5,45,1.15,7,良,184
1月3日,1,九江,7,122,93,99,8,41,0.69,11,轻度污染,242
1月3日,1,景德镇,8,57,36,62,15,25,1.02,4,良,93
1月3日,1,萍乡,9,79,57,82,15,30,1.48,4,良,167
1月3日,1,新余,10,69,49,84,28,42,0.96,16,良,131
1月3日,1,鹰潭,11,119,90,62,17,43,0.71,5,轻度污染,236
1月4日,1,南昌,1,63,45,55,5,46,1.2,8,良,109
1月4日,1,赣州,2,80,59,85,13,31,1.32,47,良,153
1月4日,1,宜春,3,83,61,69,9,37,1.03,26,良,158
1月4日,1,吉安,4,78,57,98,25,57,1.31,11,良,146
1月4日,1,上饶,5,76,52,97,31,36,1.05,5,良,144
1月4日,1,抚州,6,60,40,60,5,43,1.13,5,良,101
1月4日,1,九江,7,96,71,76,10,41,0.96,3,良,183
1月4日,1,景德镇,8,45,29,48,17,25,1.08,2,优,67
1月4日,1,萍乡,9,109,82,113,16,42,1.83,5,轻度污染,205
1月4日,1,新余,10,74,53,94,23,43,1.35,8,良,139
1月4日,1,鹰潭,11,74,54,42,13,41,0.65,4,良,140
1月5日,1,南昌,1,69,49,83,9,49,1.13,6,良,142
1月5日,1,赣州,2,78,56,92,10,40,1.32,48,良,166
1月5日,1,宜春,3,97,72,80,10,38,1.07,24,良,216
1月5日,1,吉安,4,71,49,92,19,56,1.43,30,良,146
1月5日,1,上饶,5,48,25,49,8,42,0.71,13,优,79
1月5日,1,抚州,6,59,40,64,6,46,1.15,8,良,107
1月5日,1,九江,7,69,50,55,9,38,0.7,3,良,139
1月5日,1,景德镇,8,42,24,43,10,25,1,5,优,67
1月5日,1,萍乡,9,107,80,118,31,54,1.82,8,轻度污染,234
1月5日,1,新余,10,68,45,84,34,50,1.23,14,良,138
1月5日,1,鹰潭,11,75,54,66,31,46,0.65,6,良,159
1月6日,1,南昌,1,83,58,113,17,61,1.34,21,良,250
1月6日,1,赣州,2,45,22,48,7,32,0.96,53,优,114
1月6日,1,宜春,3,97,72,77,13,36,1.2,22,良,276
1月6日,1,吉安,4,70,43,88,13,37,1.01,42,良,221
