日期,类型,城市名,id,AQI,PM2.5,PM10,SO2,NO2,CO,O3,等级,排名
11月1日,1,南昌,1,102,50,154,13,64,0.8,60,轻度污染,299
11月1日,1,赣州,2,75,42,100,20,38,1.05,68,良,202
11月1日,1,宜春,3,21,9,20,4,6,0.25,41,优,13
11月1日,1,吉安,4,89,49,128,23,42,0.83,65,良,251
11月1日,1,上饶,5,93,45,136,16,40,0.46,75,良,267
11月1日,1,抚州,6,91,49,130,15,29,0.72,91,良,257
11月1日,1,九江,7,96,58,142,17,57,0.74,63,良,277
11月1日,1,景德镇,8,79,39,108,15,33,0.68,38,良,216
11月1日,1,萍乡,9,101,59,153,30,57,1.62,58,轻度污染,295
11月1日,1,新余,10,93,52,136,32,46,0.8,51,良,264
11月1日,1,鹰潭,11,94,58,129,52,41,0.67,85,良,270
11月2日,1,南昌,1,90,47,129,16,52,0.79,92,良,261
11月2日,1,赣州,2,71,40,92,23,38,1.13,77,良,192
11月2日,1,宜春,3,27,14,26,5,7,0.23,49,优,16
11月2日,1,吉安,4,93,56,136,30,49,0.98,67,良,277
11月2日,1,上饶,5,79,47,108,11,44,0.5,77,良,216
11月2日,1,抚州,6,80,47,108,11,30,0.72,104,良,221
11月2日,1,九江,7,101,69,141,17,53,0.74,89,轻度污染,300
11月2日,1,景德镇,8,74,35,98,19,41,0.65,51,良,200
11月2日,1,萍乡,9,90,57,129,22,43,1.51,80,良,260
11月2日,1,新余,10,85,51,121,30,44,0.7,61,良,245
11月2日,1,鹰潭,11,88,58,109,29,35,0.59,116,良,256
11月3日,1,南昌,1,88,50,124,14,34,0.79,137,良,309
11月3日,1,赣州,2,70,46,89,17,26,1.16,112,良,247
11月3日,1,宜春,3,22,9,21,5,8,0.28,44,优,13
11月3日,1,吉安,4,83,57,115,18,34,0.95,93,良,301
11月3日,1,上饶,5,78,49,105,15,50,0.53,50,良,280
11月3日,1,抚州,6,82,52,109,17,25,0.85,130,良,296
11月3日,1,九江,7,115,84,159,16,63,0.81,82,轻度污染,353
11月3日,1,景德镇,8,80,43,110,19,41,0.78,55,良,286
11月3日,1,萍乡,9,106,78,127,15,30,1.24,88,轻度污染,345
11月3日,1,新余,10,83,56,109,13,27,0.72,94,良,300
11月3日,1,鹰潭,11,92,65,113,18,46,0.66,81,良,319
11月4日,1,南昌,1,82,47,114,13,30,0.76,114,良,293
11月4日,1,赣州,2,74,49,93,17,27,1.19,121,良,269
11月4日,1,宜春,3,29,18,28,6,18,0.55,38,优,17
11月4日,1,吉安,4,85,57,119,28,29,0.95,114,良,298
11月4日,1,上饶,5,82,55,109,11,31,0.5,68,良,291
11月4日,1,抚州,6,79,50,108,7,17,0.78,130,良,285
11月4日,1,九江,7,94,64,92,11,34,0.51,79,良,323
11月4日,1,景德镇,8,71,42,92,11,27,0.7,71,良,254
11月4日,1,萍乡,9,94,66,127,18,41,1.28,82,良,324
11月4日,1,新余,10,83,56,115,21,36,0.61,85,良,296
11月4日,1,鹰潭,11,93,65,97,24,31,0.67,92,良,319
11月5日,1,南昌,1,64,37,79,9,27,0.64,102,良,173
11月5日,1,赣州,2,60,37,69,15,16,1.09,127,良,149
11月5日,1,宜春,3,26,14,25,6,10,0.4,43,优,21
11月5日,1,吉安,4,61,34,73,18,23,0.73,105,良,154
11月5日,1,上饶,5,63,39,76,11,26,0.44,83,良,169
11月5日,1,抚州,6,58,33,66,7,17,0.65,107,良,134
11月5日,1,九江,7,66,46,67,9,23,0.44,89,良,184
11月5日,1,景德镇,8,60,34,69,10,28,0.7,62,良,145
11月5日,1,萍乡,9,74,46,93,19,33,1.11,87,良,241
11月5日,1,新余,10,59,30,67,18,21,0.35,93,良,141
11月5日,1,鹰潭,11,71,45,78,40,32,0.62,92,良,224
11月6日,1,南昌,1,78,55,99,13,50,0.86,68,良,244
11月6日,1,赣州,2,61,38,72,19,24,1.09,105,良,163
11月6日,1,宜春,3,18,8,17,4,7,0.28,43,优,6
11月6日,1,吉安,4,76,49,99,25,32,0.87,82,良,235
11月6日,1,上饶,5,65,43,79,9,31,0.46,79,良,191
11月6日,1,抚州,6,65,44,80,10,25,0.76,88,良,190
11月6日,1,九江,7,81,59,84,13,43,0.64,72,良,259
11月6日,1,景德镇,8,61,36,72,13,29,0.75,60,良,167
11月6日,1,萍乡,9,79,55,100,29,35,1.28,77,良,253
11月6日,1,新余,10,68,44,86,26,29,0.53,72,良,205
11月6日,1,鹰潭,11,83,61,79,27,32,0.64,89,良,264
11月7日,1,南昌,1,74,53,95,11,43,0.76,71,良,255
11月7日,1,赣州,2,62,43,69,15,18,1.06,119,良,187
11月7日,1,宜春,3,17,9,16,5,6,0.27,45,优,8
11月7日,1,吉安,4,68,47,84,20,25,0.76,89,良,225
11月7日,1,上饶,5,72,52,84,22,32,0.61,53,良,247
11月7日,1,抚州,6,68,47,80,20,25,0.78,77,良,222
11月7日,1,九江,7,84,62,77,12,43,0.54,66,良,292
11月7日,1,景德镇,8,61,37,72,19,29,0.8,56,良,182
11月7日,1,萍乡,9,88,61,100,15,40,1.41,44,良,301
11月7日,1,新余,10,64,43,77,19,28,0.55,70,良,202
11月7日,1,鹰潭,11,86,59,71,15,28,0.65,64,良,298
11月8日,1,南昌,1,75,54,93,11,35,0.74,97,良,259
11月8日,1,赣州,2,57,38,63,20,20,0.99,114,良,149
11月8日,1,宜春,3,22,12,21,5,8,0.32,47,优,16
11月8日,1,吉安,4,65,42,80,25,28,0.73,98,良,212
11月8日,1,上饶,5,57,37,64,12,26,0.47,73,良,146
11月8日,1,抚州,6,61,42,71,7,21,0.66,97,良,186
11月8日,1,九江,7,90,67,74,10,27,0.6,88,良,295
11月8日,1,景德镇,8,59,37,68,11,26,0.8,62,良,166
11月8日,1,萍乡,9,76,50,98,20,44,1.23,60,良,266
11月8日,1,新余,10,62,40,75,16,27,0.52,80,良,192
11月8日,1,鹰潭,11,72,50,67,16,32,0.5,71,良,247
11月9日,1,南昌,1,79,55,98,10,44,0.82,85,良,222
11月9日,1,赣州,2,58,40,64,19,25,1,105,良,120
11月9日,1,宜春,3,30,17,29,7,18,0.45,30,优,22
11月9日,1,吉安,4,71,48,92,24,33,0.79,90,良,181
11月9日,1,上饶,5,62,38,73,13,30,0.45,70,良,140
11月9日,1,抚州,6,63,42,74,7,22,0.62,98,良,146
11月9日,1,九江,7,89,65,82,12,39,0.68,81,良,256
11月9日,1,景德镇,8,61,38,72,12,31,0.67,53,良,134
11月9日,1,萍乡,9,77,51,101,26,46,1.37,69,良,215
11月9日,1,新余,10,72,48,91,26,32,0.55,78,良,190
11月9日,1,鹰潭,11,76,48,81,35,42,0.45,62,良,211
11月10日,1,南昌,1,84,53,119,21,77,0.84,50,良,246
11月10日,1,赣州,2,68,46,83,27,47,1.13,65,良,153
11月10日,1,宜春,3,48,31,49,27,24,1.45,32,优,60
11月10日,1,吉安,4,75,50,98,27,43,0.79,76,良,201
11月10日,1,上饶,5,70,49,86,26,36,0.55,70,良,163
11月10日,1,抚州,6,66,46,81,14,37,0.7,80,良,142
11月10日,1,九江,7,71,49,79,13,56,0.6,64,良,172
11月10日,1,景德镇,8,71,47,91,21,41,0.81,45,良,171
11月10日,1,萍乡,9,83,58,113,23,46,1.43,74,良,244
11月10日,1,新余,10,70,45,89,25,39,0.73,63,良,166
11月10日,1,鹰潭,11,72,51,75,29,41,0.44,63,良,184
11月11日,1,南昌,1,96,65,142,17,74,0.96,57,良,333
11月11日,1,赣州,2,81,51,101,28,57,1.26,73,良,266
11月11日,1,宜春,3,43,29,40,11,15,0.9,40,优,60
11月11日,1,吉安,4,82,57,112,24,46,0.83,77,良,274
11月11日,1,上饶,5,66,45,77,22,38,0.55,66,良,167
11月11日,1,抚州,6,68,46,83,9,35,0.69,81,良,179
11月11日,1,九江,7,65,42,78,14,51,0.58,68,良,165
11月11日,1,景德镇,8,74,49,94,16,41,0.79,45,良,206
11月11日,1,萍乡,9,87,62,114,36,46,1.88,77,良,299
11月11日,1,新余,10,78,56,102,31,42,0.68,64,良,238
11月11日,1,鹰潭,11,81,57,86,62,42,0.59,69,良,259
11月12日,1,南昌,1,83,56,116,14,59,0.72,57,良,268
11月12日,1,赣州,2,79,49,102,22,56,1.29,71,良,247
11月12日,1,宜春,3,19,10,18,5,9,0.41,46,优,6
11月12日,1,吉安,4,83,57,112,26,47,0.83,82,良,267
11月12日,1,上饶,5,76,51,101,15,38,0.69,78,良,232
11月12日,1,抚州,6,67,43,83,7,32,0.71,77,良,194
11月12日,1,九江,7,87,63,87,14,57,0.79,41,良,288
11月12日,1,景德镇,8,59,34,69,12,24,0.61,48,良,141
11月12日,1,萍乡,9,85,61,115,57,43,1.68,100,良,279
11月12日,1,新余,10,80,58,106,33,36,0.56,71,良,257
11月12日,1,鹰潭,11,76,51,82,28,34,0.53,89,良,234
11月13日,1,南昌,1,63,41,74,7,28,0.6,65,良,224
11月13日,1,赣州,2,72,45,94,20,33,1.05,64,良,271
11月13日,1,宜春,3,18,11,17,6,9,0.46,41,优,8
11月13日,1,吉安,4,78,52,105,28,33,0.73,55,良,304
11月13日,1,上饶,5,87,62,116,40,49,1,31,良,334
11月13日,1,抚州,6,61,41,72,6,19,0.66,62,良,213
11月13日,1,九江,7,80,51,66,10,36,0.54,41,良,305
11月13日,1,景德镇,8,52,32,55,8,22,0.62,51,良,162
11月13日,1,萍乡,9,75,53,95,29,41,1.48,41,良,290
11月13日,1,新余,10,66,41,81,24,35,0.7,44,良,234
11月13日,1,鹰潭,11,87,64,77,19,31,0.57,57,良,335
11月14日,1,南昌,1,51,15,54,7,35,0.38,53,良,146
11月14日,1,赣州,2,52,31,55,18,17,0.98,92,良,151
11月14日,1,宜春,3,27,15,25,5,11,0.48,38,优,28
11月14日,1,吉安,4,59,29,69,19,28,0.7,65,良,200
11月14日,1,上饶,5,62,35,74,13,36,0.59,39,良,235
11月14日,1,抚州,6,53,23,56,6,20,0.46,67,良,160
11月14日,1,九江,7,51,18,55,10,39,0.5,41,良,145
11月14日,1,景德镇,8,52,25,58,13,26,0.56,40,良,153
11月14日,1,萍乡,9,65,34,76,15,34,1.23,38,良,257
11月14日,1,新余,10,55,24,62,17,33,0.48,43,良,174
11月14日,1,鹰潭,11,60,32,69,24,32,0.48,55,良,206
11月15日,1,南昌,1,78,42,106,16,68,0.83,43,良,290
11月15日,1,赣州,2,70,42,89,21,52,1.16,62,良,238
11月15日,1,宜春,3,24,13,21,5,7,0.43,47,优,10
11月15日,1,吉安,4,71,39,92,24,47,0.79,51,良,249
11月15日,1,上饶,5,69,38,87,26,50,0.69,37,良,218
11月15日,1,抚州,6,63,33,76,8,43,0.72,53,良,167
11月15日,1,九江,7,60,29,70,16,46,0.63,56,良,142
11月15日,1,景德镇,8,60,31,72,18,37,0.68,38,良,141
11月15日,1,萍乡,9,77,43,104,34,51,1.8,41,良,281
11月15日,1,新余,10,70,39,90,25,41,0.92,40,良,232
11月15日,1,鹰潭,11,66,44,77,31,38,0.35,54,良,199
11月16日,1,南昌,1,111,69,173,24,87,1.11,44,轻度污染,320
11月16日,1,赣州,2,79,51,105,21,52,1.24,75,良,226
11月16日,1,宜春,3,22,11,20,5,7,0.44,50,优,12
11月16日,1,吉安,4,86,52,123,25,50,0.84,57,良,262
11月16日,1,上饶,5,75,45,99,25,58,0.79,41,良,205
11月16日,1,抚州,6,70,41,90,7,40,0.74,65,良,180
11月16日,1,九江,7,77,52,103,21,58,0.83,62,良,216
11月16日,1,景德镇,8,70,43,91,20,42,0.78,43,良,182
11月16日,1,萍乡,9,91,60,133,57,59,2.12,32,良,281
11月16日,1,新余,10,83,53,115,32,55,1,40,良,253
11月16日,1,鹰潭,11,80,55,89,56,42,0.49,61,良,239
11月17日,1,南昌,1,108,68,166,24,65,0.85,68,轻度污染,266
11月17日,1,赣州,2,78,51,100,20,44,1.19,97,良,185
11月17日,1,宜春,3,23,14,21,7,15,0.62,33,优,10
11月17日,1,吉安,4,86,55,123,26,47,0.96,85,良,203
11月17日,1,上饶,5,74,46,98,38,57,0.77,42,良,174
11月17日,1,抚州,6,62,36,74,6,25,0.71,93,良,135
11月17日,1,九江,7,109,81,113,16,55,0.75,48,轻度污染,269
11月17日,1,景德镇,8,75,49,99,24,38,0.8,64,良,178
11月17日,1,萍乡,9,104,76,149,39,54,1.93,39,轻度污染,249
11月17日,1,新余,10,87,62,124,34,48,1.05,59,良,208
11月17日,1,鹰潭,11,86,60,94,54,41,0.63,63,良,206
11月18日,1,南昌,1,51,27,60,6,23,0.49,39,良,124
11月18日,1,赣州,2,52,33,64,10,22,1,52,良,128
11月18日,1,宜春,3,30,16,29,9,12,0.6,44,优,39
11月18日,1,吉安,4,55,26,70,10,20,0.75,46,良,142
11月18日,1,上饶,5,56,32,66,14,25,0.75,30,良,148
11月18日,1,抚州,6,58,28,74,5,12,0.54,55,良,153
11月18日,1,九江,7,52,28,42,6,21,0.39,36,良,129
11月18日,1,景德镇,8,36,17,42,5,13,0.5,40,优,63
11月18日,1,萍乡,9,31,17,29,4,18,1.12,31,优,43
11月18日,1,新余,10,33,17,37,10,18,0.69,36,优,52
11月18日,1,鹰潭,11,43,30,44,8,14,0.33,43,优,90
11月19日,1,南昌,1,73,26,96,10,29,0.43,39,良,220
11月19日,1,赣州,2,46,20,50,11,15,0.78,59,优,115
11月19日,1,宜春,3,24,15,21,5,10,0.54,47,优,19
11月19日,1,吉安,4,65,23,80,17,23,0.53,44,良,195
11月19日,1,上饶,5,56,23,67,27,22,0.46,39,良,147
11月19日,1,抚州,6,62,22,74,6,15,0.53,50,良,181
11月19日,1,九江,7,77,27,103,11,32,0.55,32,良,230
11月19日,1,景德镇,8,55,21,62,8,19,0.46,25,良,144
11月19日,1,萍乡,9,62,25,77,17,20,0.93,42,良,178
11月19日,1,新余,10,64,23,79,19,23,0.41,42,良,192
11月19日,1,鹰潭,11,52,23,59,19,19,0.23,43,良,137
11月20日,1,南昌,1,74,33,99,14,43,0.6,44,良,238
11月20日,1,赣州,2,59,27,68,24,20,0.81,77,良,142
11月20日,1,宜春,3,33,22,28,6,11,0.55,55,优,32
11月20日,1,吉安,4,72,32,93,24,30,0.61,57,良,221
11月20日,1,上饶,5,74,29,98,19,25,0.38,52,良,239
11月20日,1,抚州,6,72,33,95,10,25,0.63,64,良,218
11月20日,1,九江,7,76,43,101,14,42,0.69,37,良,243
11月20日,1,景德镇,8,59,24,69,9,21,0.41,46,良,141
11月20日,1,萍乡,9,73,37,97,32,31,1.16,35,良,227
11月20日,1,新余,10,73,33,97,44,45,0.59,37,良,229
11月20日,1,鹰潭,11,74,36,97,19,24,0.48,71,良,230
11月21日,1,南昌,1,71,32,91,14,49,0.63,37,良,237
11月21日,1,赣州,2,63,34,76,17,29,0.9,79,良,170
11月21日,1,宜春,3,44,30,35,22,24,1.12,36,优,67
11月21日,1,吉安,4,80,44,109,28,40,0.69,63,良,274
11月21日,1,上饶,5,63,28,76,31,36,0.47,34,良,174
11月21日,1,抚州,6,68,36,87,13,32,0.62,54,良,211
11月21日,1,九江,7,73,46,95,15,58,0.79,27,良,251
11月21日,1,景德镇,8,56,22,63,11,22,0.46,45,良,127
11月21日,1,萍乡,9,84,51,118,35,43,1.4,47,良,286
11月21日,1,新余,10,75,37,99,44,49,0.81,41,良,257
11月21日,1,鹰潭,11,60,35,67,18,23,0.34,56,良,158
11月22日,1,南昌,1,77,40,103,13,62,0.86,39,良,248
11月22日,1,赣州,2,74,43,97,22,55,1.19,51,良,231
11月22日,1,宜春,3,50,35,47,24,20,1.05,47,优,97
11月22日,1,吉安,4,84,51,119,24,53,0.84,52,良,282
11月22日,1,上饶,5,65,33,79,32,36,0.44,40,良,179
11月22日,1,抚州,6,65,38,80,13,30,0.64,69,良,175
11月22日,1,九江,7,71,49,85,16,58,0.75,35,良,216
11月22日,1,景德镇,8,59,28,70,17,32,0.58,30,良,135
11月22日,1,萍乡,9,85,56,118,38,51,1.84,46,良,287
11月22日,1,新余,10,73,42,95,46,54,0.88,39,良,223
11月22日,1,鹰潭,11,69,44,77,36,36,0.5,43,良,204
11月23日,1,南昌,1,90,56,130,18,76,1.1,38,良,284
11月23日,1,赣州,2,88,53,113,22,64,1.21,69,良,272
11月23日,1,宜春,3,37,25,32,5,9,0.45,54,优,54
11月23日,1,吉安,4,89,57,127,22,60,0.88,47,良,281
11月23日,1,上饶,5,65,39,80,21,41,0.43,33,良,168
11月23日,1,抚州,6,70,46,86,12,38,0.79,63,良,196
11月23日,1,九江,7,73,49,89,17,60,0.81,35,良,209
11月23日,1,景德镇,8,61,32,73,20,33,0.66,33,良,155
11月23日,1,萍乡,9,88,62,124,47,54,2.13,43,良,273
11月23日,1,新余,10,83,55,114,50,65,1.54,39,良,250
11月23日,1,鹰潭,11,70,49,74,31,43,0.45,45,良,188
11月24日,1,南昌,1,107,68,155,16,54,1.06,59,轻度污染,312
11月24日,1,赣州,2,81,51,109,21,61,1.19,61,良,270
11月24日,1,宜春,3,19,12,14,5,5,0.4,50,优,6
11月24日,1,吉安,4,92,61,133,27,45,0.8,68,良,294
11月24日,1,上饶,5,71,41,92,33,47,0.53,34,良,248
11月24日,1,抚州,6,80,58,102,11,35,0.85,66,良,269
11月24日,1,九江,7,119,90,111,15,50,0.75,41,轻度污染,331
11月24日,1,景德镇,8,68,43,85,13,24,0.64,43,良,239
11月24日,1,萍乡,9,108,79,141,42,44,1.71,52,轻度污染,313
11月24日,1,新余,10,87,62,121,48,50,1.18,53,良,289
11月24日,1,鹰潭,11,85,61,78,23,30,0.52,59,良,283
11月25日,1,南昌,1,86,32,127,4,22,0.63,27,良,350
11月25日,1,赣州,2,69,41,90,8,28,1.12,43,良,319
11月25日,1,宜春,3,24,16,21,5,8,0.52,43,优,42
11月25日,1,吉安,4,74,32,100,10,25,0.71,32,良,332
11月25日,1,上饶,5,40,20,44,11,19,0.35,32,优,201
11月25日,1,抚州,6,47,30,50,5,19,0.72,25,优,247
11月25日,1,九江,7,34,19,29,7,16,0.39,34,优,152
11月25日,1,景德镇,8,29,16,31,4,16,0.5,24,优,97
11月25日,1,萍乡,9,63,45,61,7,22,0.9,21,良,307
11月25日,1,新余,10,53,28,58,11,24,0.6,30,良,273
11月25日,1,鹰潭,11,64,47,39,9,24,0.46,17,良,311
11月26日,1,南昌,1,44,30,41,5,30,0.67,4,优,156
11月26日,1,赣州,2,35,19,35,7,19,0.9,23,优,86
11月26日,1,宜春,3,39,25,35,16,17,0.95,30,优,120
11月26日,1,吉安,4,47,21,47,10,31,0.68,6,优,178
11月26日,1,上饶,5,47,27,50,18,27,0.31,11,优,173
11月26日,1,抚州,6,39,21,39,5,20,0.67,7,优,114
11月26日,1,九江,7,52,37,31,7,27,0.8,7,良,205
11月26日,1,景德镇,8,23,9,23,5,15,0.42,10,优,18
11月26日,1,萍乡,9,41,26,41,12,24,1.04,6,优,135
11月26日,1,新余,10,45,22,47,24,29,0.53,10,优,162
11月26日,1,鹰潭,11,44,30,37,12,22,0.31,6,优,151
11月27日,1,南昌,1,33,22,29,5,30,0.71,11,优,91
11月27日,1,赣州,2,27,16,26,10,25,1,9,优,49
11月27日,1,宜春,3,28,15,23,6,6,0.45,49,优,55
