日期,类型,城市名,id,AQI,PM2.5,PM10,SO2,NO2,CO,O3,等级,排名
12月1日,1,南昌,1,62,44,50,3,27,0.67,31,良,239
12月1日,1,赣州,2,47,32,53,20,26,1.06,27,优,145
12月1日,1,宜春,3,45,31,35,7,15,0.6,41,优,130
12月1日,1,吉安,4,49,29,57,16,31,0.84,15,优,161
12月1日,1,上饶,5,56,36,64,24,30,0.69,8,良,207
12月1日,1,抚州,6,48,33,48,5,22,0.6,36,优,152
12月1日,1,九江,7,94,70,55,9,32,0.76,21,良,324
12月1日,1,景德镇,8,38,23,38,9,25,0.65,12,优,93
12月1日,1,萍乡,9,69,51,65,12,26,1.14,13,良,267
12月1日,1,新余,10,42,27,45,14,27,0.72,14,优,115
12月1日,1,鹰潭,11,71,52,36,10,27,0.43,19,良,270
12月2日,1,南昌,1,99,74,94,7,42,0.81,51,良,331
12月2日,1,赣州,2,42,28,43,7,16,0.86,75,优,126
12月2日,1,宜春,3,53,37,40,13,18,0.85,40,良,198
12月2日,1,吉安,4,68,48,72,15,27,0.85,53,良,263
12月2日,1,上饶,5,54,37,58,19,27,0.59,36,良,203
12月2日,1,抚州,6,76,56,80,5,22,0.67,69,良,283
12月2日,1,九江,7,120,90,84,14,42,0.93,38,轻度污染,347
12月2日,1,景德镇,8,75,54,85,19,30,0.79,36,良,280
12月2日,1,萍乡,9,102,76,112,19,37,1.54,28,轻度污染,335
12月2日,1,新余,10,61,41,68,18,33,0.83,38,良,229
12月2日,1,鹰潭,11,90,67,57,14,25,0.43,59,良,314
12月3日,1,南昌,1,80,58,94,10,55,0.81,47,良,277
12月3日,1,赣州,2,60,41,67,19,25,0.93,90,良,177
12月3日,1,宜春,3,31,19,28,7,6,0.53,45,优,38
12月3日,1,吉安,4,73,51,91,26,36,0.83,62,良,247
12月3日,1,上饶,5,71,48,86,25,37,0.63,34,良,231
12月3日,1,抚州,6,75,53,85,8,33,0.71,64,良,259
12月3日,1,九江,7,83,61,80,13,53,0.79,33,良,284
12月3日,1,景德镇,8,63,41,72,16,31,0.69,30,良,191
12月3日,1,萍乡,9,85,62,102,22,42,1.37,34,良,287
