日期,类型,城市名,id,AQI,PM2.5,PM10,SO2,NO2,CO,O3,等级,排名
4月1日,1,南昌,1,43,28,42,6,30,0.55,41,优,155
4月1日,1,赣州,2,23,14,23,7,13,1.01,42,优,20
4月1日,1,宜春,3,27,12,25,5,13,0.61,61,优,47
4月1日,1,吉安,4,39,20,39,14,20,0.75,32,优,130
4月1日,1,上饶,5,32,20,30,20,16,0.55,50,优,78
4月1日,1,抚州,6,37,24,36,6,18,0.6,50,优,112
4月1日,1,九江,7,52,36,43,11,23,0.72,48,良,210
4月1日,1,景德镇,8,36,21,34,9,19,0.7,28,优,106
4月1日,1,萍乡,9,46,30,46,15,23,1.38,24,优,174
4月1日,1,新余,10,41,25,42,15,25,0.73,33,优,144
4月1日,1,鹰潭,11,34,23,26,12,16,0.61,45,优,90
4月2日,1,南昌,1,53,35,55,8,33,0.6,39,良,214
4月2日,1,赣州,2,25,16,22,4,17,1.07,27,优,28
4月2日,1,宜春,3,38,20,35,5,13,0.58,63,优,90
4月2日,1,吉安,4,45,27,45,10,29,0.76,25,优,141
4月2日,1,上饶,5,48,31,50,10,23,0.49,59,优,171
4月2日,1,抚州,6,42,28,42,8,26,0.62,32,优,123
4月2日,1,九江,7,90,66,77,12,22,0.59,79,良,342
4月2日,1,景德镇,8,38,19,38,9,19,0.57,35,优,91
4月2日,1,萍乡,9,57,40,51,19,34,1.2,17,良,236
4月2日,1,新余,10,46,30,47,17,35,0.86,19,优,144
4月2日,1,鹰潭,11,59,42,35,26,27,0.6,47,良,239
4月3日,1,南昌,1,70,49,83,9,48,0.72,32,良,248
4月3日,1,赣州,2,14,8,13,4,15,1.12,31,优,11
4月3日,1,宜春,3,25,10,24,7,10,0.59,58,优,51
4月3日,1,吉安,4,31,17,31,9,23,0.64,41,优,71
4月3日,1,上饶,5,52,33,53,9,22,0.49,50,良,162
4月3日,1,抚州,6,40,27,38,9,20,0.58,47,优,102
4月3日,1,九江,7,65,42,78,13,40,0.52,62,良,230
4月3日,1,景德镇,8,57,36,62,9,26,0.7,33,良,184
4月3日,1,萍乡,9,52,36,42,9,26,1.11,37,良,161
4月3日,1,新余,10,50,34,51,15,29,0.84,36,优,155
4月3日,1,鹰潭,11,69,50,37,26,24,0.56,50,良,240
4月4日,1,南昌,1,74,54,82,7,42,0.62,82,良,247
4月4日,1,赣州,2,35,24,32,7,11,1.08,66,优,95
4月4日,1,宜春,3,22,10,17,5,6,0.53,64,优,34
4月4日,1,吉安,4,58,38,65,13,22,0.74,72,良,176
4月4日,1,上饶,5,60,41,63,8,20,0.57,65,良,186
4月4日,1,抚州,6,53,36,55,7,14,0.5,88,良,144
4月4日,1,九江,7,77,56,78,12,32,0.55,92,良,256
4月4日,1,景德镇,8,53,33,56,11,21,0.61,47,良,145
4月4日,1,萍乡,9,66,45,68,17,28,1.03,62,良,217
4月4日,1,新余,10,57,38,63,17,25,0.8,78,良,170
4月4日,1,鹰潭,11,68,49,46,33,19,0.53,73,良,223
4月5日,1,南昌,1,82,60,97,11,39,0.63,83,良,321
4月5日,1,赣州,2,55,39,53,7,21,1.1,48,良,175
4月5日,1,宜春,3,25,11,16,5,9,0.58,57,优,36
4月5日,1,吉安,4,66,46,79,17,27,0.71,46,良,237
4月5日,1,上饶,5,78,57,96,14,31,0.71,53,良,301
4月5日,1,抚州,6,69,49,77,15,24,0.66,69,良,261
4月5日,1,九江,7,95,66,111,14,30,0.68,94,良,338
4月5日,1,景德镇,8,65,43,79,12,29,0.65,62,良,230
