日期,类型,城市名,id,AQI,PM2.5,PM10,SO2,NO2,CO,O3,等级,排名
10月1日,1,南昌,1,64,37,68,11,21,0.63,142,良,197
10月1日,1,赣州,2,79,48,76,24,22,1.26,140,良,313
10月1日,1,宜春,3,51,28,41,13,13,0.98,114,良,121
10月1日,1,吉安,4,75,42,79,23,22,0.79,138,良,294
10月1日,1,上饶,5,60,38,70,16,19,0.6,108,良,168
10月1日,1,抚州,6,67,43,70,6,12,0.7,139,良,230
10月1日,1,九江,7,69,45,63,10,17,0.6,131,良,252
10月1日,1,景德镇,8,54,34,59,7,13,0.66,93,良,139
10月1日,1,萍乡,9,75,39,76,25,30,1.58,116,良,292
10月1日,1,新余,10,72,44,78,24,23,0.76,122,良,276
10月1日,1,鹰潭,11,75,54,63,16,15,0.52,142,良,290
10月2日,1,南昌,1,49,28,50,10,21,0.66,67,优,141
10月2日,1,赣州,2,69,45,69,17,26,1.17,103,良,271
10月2日,1,宜春,3,56,31,46,6,9,0.6,112,良,178
10月2日,1,吉安,4,84,55,100,19,27,0.82,117,良,348
10月2日,1,上饶,5,45,21,45,19,23,0.56,63,优,121
10月2日,1,抚州,6,62,42,68,15,13,0.71,108,良,214
10月2日,1,九江,7,68,46,55,14,22,0.71,77,良,263
10月2日,1,景德镇,8,35,19,34,11,13,0.6,57,优,84
10月2日,1,萍乡,9,79,45,80,29,32,1.7,116,良,334
10月2日,1,新余,10,78,55,92,32,24,0.99,104,良,328
10月2日,1,鹰潭,11,63,45,56,11,17,0.48,105,良,221
10月3日,1,南昌,1,59,31,67,13,30,0.7,84,良,199
10月3日,1,赣州,2,72,48,76,18,25,0.97,106,良,278
10月3日,1,宜春,3,18,11,12,4,6,0.31,39,优,13
10月3日,1,吉安,4,84,54,105,21,26,0.85,106,良,323
10月3日,1,上饶,5,56,27,59,18,30,0.58,78,良,181
10月3日,1,抚州,6,67,43,72,10,20,0.69,100,良,245
10月3日,1,九江,7,60,38,59,16,25,0.63,79,良,212
10月3日,1,景德镇,8,59,36,65,16,22,0.79,72,良,200
10月3日,1,萍乡,9,84,52,96,39,37,1.78,110,良,325
10月3日,1,新余,10,71,51,88,25,24,0.93,87,良,273
10月3日,1,鹰潭,11,64,42,62,27,18,0.49,104,良,235
10月4日,1,南昌,1,80,48,98,16,39,0.8,107,良,339
10月4日,1,赣州,2,66,46,73,19,25,0.93,104,良,284
10月4日,1,宜春,3,25,10,23,4,8,0.35,40,优,66
10月4日,1,吉安,4,79,55,104,20,24,0.83,95,良,332
10月4日,1,上饶,5,72,39,77,32,28,0.66,105,良,319
10月4日,1,抚州,6,71,48,80,9,21,0.71,111,良,309
10月4日,1,九江,7,82,54,89,19,37,0.91,106,良,345
10月4日,1,景德镇,8,66,46,78,15,24,0.84,77,良,285
10月4日,1,萍乡,9,79,56,97,32,34,1.57,96,良,333
10月4日,1,新余,10,83,61,103,30,26,1.04,94,良,347
10月4日,1,鹰潭,11,77,52,77,32,20,0.61,116,良,330
10月5日,1,南昌,1,88,46,127,12,26,0.83,76,良,357
10月5日,1,赣州,2,63,40,68,19,26,0.9,91,良,329
10月5日,1,宜春,3,29,10,30,4,12,0.38,38,优,151
10月5日,1,吉安,4,75,53,97,17,21,0.82,92,良,345
10月5日,1,上饶,5,72,51,88,17,22,0.72,107,良,342
10月5日,1,抚州,6,79,55,93,12,17,0.73,97,良,349
10月5日,1,九江,7,61,42,64,10,13,0.49,72,良,322
10月5日,1,景德镇,8,59,38,70,7,16,0.77,68,良,318
10月5日,1,萍乡,9,90,58,115,31,31,1.96,100,良,358
10月5日,1,新余,10,90,60,112,25,23,0.81,100,良,360
10月5日,1,鹰潭,11,90,63,89,24,21,0.72,107,良,359
10月6日,1,南昌,1,47,27,50,8,20,0.6,56,优,284
10月6日,1,赣州,2,61,43,67,9,12,0.93,104,良,335
10月6日,1,宜春,3,36,12,37,9,13,0.53,56,优,176
10月6日,1,吉安,4,66,38,80,11,16,0.93,62,良,345
10月6日,1,上饶,5,51,31,54,6,15,0.58,103,良,310
10月6日,1,抚州,6,48,30,50,5,9,0.62,76,优,295
10月6日,1,九江,7,47,31,39,7,18,0.43,42,优,288
10月6日,1,景德镇,8,37,21,37,7,11,0.7,69,优,188
10月6日,1,萍乡,9,66,39,81,17,27,1.45,21,良,347
10月6日,1,新余,10,60,37,69,21,18,0.66,52,良,333
10月6日,1,鹰潭,11,63,45,58,18,17,0.68,91,良,338
10月7日,1,南昌,1,53,29,58,8,27,0.76,35,良,262
10月7日,1,赣州,2,68,49,72,12,12,1.03,110,良,338
10月7日,1,宜春,3,31,12,31,6,10,0.44,79,优,96
10月7日,1,吉安,4,71,50,90,20,20,1.06,67,良,345
10月7日,1,上饶,5,60,36,70,12,23,0.65,80,良,303
10月7日,1,抚州,6,54,33,57,5,12,0.81,70,良,275
10月7日,1,九江,7,55,37,52,10,29,0.67,17,良,280
10月7日,1,景德镇,8,52,30,56,11,21,0.83,41,良,253
10月7日,1,萍乡,9,46,27,49,12,23,0.92,11,优,214
10月7日,1,新余,10,72,52,85,18,28,0.98,23,良,347
10月7日,1,鹰潭,11,63,45,57,14,17,0.74,66,良,321
10月8日,1,南昌,1,50,23,51,9,25,0.69,49,优,246
10月8日,1,赣州,2,66,47,70,13,15,1.12,87,良,324
10月8日,1,宜春,3,27,12,26,4,7,0.38,46,优,72
10月8日,1,吉安,4,60,36,70,21,23,1.01,44,良,297
10月8日,1,上饶,5,59,34,68,28,25,0.8,31,良,290
10月8日,1,抚州,6,42,23,42,5,12,0.62,61,优,176
10月8日,1,九江,7,39,26,32,9,16,0.33,62,优,155
10月8日,1,景德镇,8,36,21,36,5,12,0.75,34,优,129
10月8日,1,萍乡,9,62,39,74,15,31,1.34,20,良,310
10月8日,1,新余,10,59,35,68,23,24,0.75,31,良,294
10月8日,1,鹰潭,11,42,28,35,12,15,0.6,61,优,184
10月9日,1,南昌,1,62,39,74,11,35,0.89,57,良,281
10月9日,1,赣州,2,57,35,60,13,25,1.12,95,良,250
10月9日,1,宜春,3,28,9,28,7,12,0.43,48,优,60
10月9日,1,吉安,4,56,28,63,25,21,0.93,82,良,242
10月9日,1,上饶,5,58,36,66,6,23,0.77,82,良,254
10月9日,1,抚州,6,53,35,56,6,13,0.73,88,良,217
10月9日,1,九江,7,78,57,59,12,30,0.65,61,良,350
10月9日,1,景德镇,8,42,24,42,8,15,0.78,53,优,152
10月9日,1,萍乡,9,68,43,77,33,29,1.75,79,良,321
10月9日,1,新余,10,56,33,63,24,18,0.7,80,良,246
10月9日,1,鹰潭,11,60,42,53,16,22,0.81,77,良,271
10月10日,1,南昌,1,80,49,110,13,56,0.99,68,良,348
10月10日,1,赣州,2,69,44,79,14,34,1.07,90,良,317
10月10日,1,宜春,3,43,18,45,5,12,0.49,59,优,151
10月10日,1,吉安,4,69,45,89,21,30,1.07,77,良,319
10月10日,1,上饶,5,65,44,77,11,29,0.83,83,良,298
10月10日,1,抚州,6,64,44,71,9,18,0.8,87,良,294
10月10日,1,九江,7,75,54,85,15,42,0.73,77,良,336
10月10日,1,景德镇,8,62,38,73,12,26,0.96,60,良,284
10月10日,1,萍乡,9,71,48,91,41,33,1.88,74,良,324
10月10日,1,新余,10,73,51,89,32,32,1.37,70,良,334
10月10日,1,鹰潭,11,75,55,70,29,26,0.81,86,良,338
10月11日,1,南昌,1,77,54,97,11,30,0.97,68,良,320
10月11日,1,赣州,2,77,47,81,17,30,1.05,107,良,317
10月11日,1,宜春,3,24,8,24,4,7,0.28,42,优,28
10月11日,1,吉安,4,88,58,116,31,31,1.12,101,良,351
10月11日,1,上饶,5,68,46,84,18,31,0.84,83,良,285
10月11日,1,抚州,6,77,56,88,8,22,0.99,84,良,318
10月11日,1,九江,7,102,76,67,11,36,0.8,34,轻度污染,363
10月11日,1,景德镇,8,79,53,104,12,30,1.03,52,良,322
10月11日,1,萍乡,9,80,57,96,17,25,1.29,70,良,326
10月11日,1,新余,10,88,65,114,35,29,0.98,87,良,347
10月11日,1,鹰潭,11,65,43,75,24,25,0.59,85,良,271
10月12日,1,南昌,1,61,42,68,5,24,0.84,59,良,269
10月12日,1,赣州,2,66,47,68,7,13,1.17,117,良,296
10月12日,1,宜春,3,23,9,23,4,10,0.34,35,优,24
10月12日,1,吉安,4,66,46,78,19,18,1.22,71,良,298
10月12日,1,上饶,5,84,61,101,30,25,1.12,74,良,353
10月12日,1,抚州,6,61,43,66,5,14,0.93,83,良,265
10月12日,1,九江,7,78,57,49,8,27,0.55,37,良,344
10月12日,1,景德镇,8,70,50,83,11,19,1.1,44,良,312
10月12日,1,萍乡,9,42,24,43,9,19,0.98,30,优,120
10月12日,1,新余,10,63,43,71,18,19,0.89,41,良,280
10月12日,1,鹰潭,11,85,63,63,13,17,0.63,84,良,356
10月13日,1,南昌,1,56,37,62,5,25,0.77,63,良,260
10月13日,1,赣州,2,58,41,59,9,14,1.27,78,良,279
10月13日,1,宜春,3,26,10,26,5,10,0.33,34,优,30
10月13日,1,吉安,4,56,34,64,19,19,1.17,50,良,262
10月13日,1,上饶,5,64,43,73,11,24,0.9,48,良,311
10月13日,1,抚州,6,57,40,61,5,14,0.89,64,良,265
10月13日,1,九江,7,71,52,46,7,23,0.5,59,良,333
10月13日,1,景德镇,8,53,34,52,5,14,0.93,39,良,234
10月13日,1,萍乡,9,45,26,45,8,22,1.12,22,优,148
10月13日,1,新余,10,47,28,47,14,16,0.79,50,优,173
10月13日,1,鹰潭,11,105,79,58,13,21,0.78,53,轻度污染,361
10月14日,1,南昌,1,67,37,84,8,25,0.63,69,良,347
10月14日,1,赣州,2,59,42,60,10,16,1.21,71,良,318
10月14日,1,宜春,3,24,10,24,5,9,0.35,43,优,47
