日期,类型,城市名,id,AQI,PM2.5,PM10,SO2,NO2,CO,O3,等级,排名
3月1日,1,南昌,1,36,24,31,4,15,0.67,60,优,109
3月1日,1,赣州,2,30,19,27,7,10,1.32,51,优,71
3月1日,1,宜春,3,27,16,21,6,11,0.71,50,优,46
3月1日,1,吉安,4,29,14,28,8,22,0.86,30,优,60
3月1日,1,上饶,5,30,18,28,6,17,0.9,12,优,66
3月1日,1,抚州,6,28,18,27,5,10,0.81,60,优,54
3月1日,1,九江,7,43,30,30,7,15,0.47,50,优,151
3月1日,1,景德镇,8,22,13,18,4,11,0.7,33,优,16
3月1日,1,萍乡,9,36,23,31,11,19,1.52,17,优,110
3月1日,1,新余,10,30,18,30,10,21,0.79,37,优,64
3月1日,1,鹰潭,11,43,30,21,5,15,0.7,41,优,146
3月2日,1,南昌,1,38,26,34,5,14,0.58,63,优,117
3月2日,1,赣州,2,30,17,26,5,8,1.04,87,优,62
3月2日,1,宜春,3,25,16,19,4,10,0.57,54,优,29
3月2日,1,吉安,4,35,18,35,7,12,0.58,61,优,101
3月2日,1,上饶,5,29,16,28,5,11,0.62,52,优,56
3月2日,1,抚州,6,30,18,30,5,9,0.61,69,优,60
3月2日,1,九江,7,52,37,40,7,12,0.47,65,良,235
3月2日,1,景德镇,8,26,15,23,4,6,0.47,58,优,33
3月2日,1,萍乡,9,42,27,41,9,15,1.1,56,优,154
3月2日,1,新余,10,33,20,33,11,13,0.53,63,优,82
3月2日,1,鹰潭,11,33,21,24,9,11,0.54,61,优,83
3月3日,1,南昌,1,44,30,35,5,19,0.74,58,优,184
3月3日,1,赣州,2,25,15,24,5,10,1.1,45,优,50
3月3日,1,宜春,3,29,18,20,6,7,0.56,68,优,72
3月3日,1,吉安,4,32,17,32,8,16,0.73,41,优,100
3月3日,1,上饶,5,26,16,24,3,15,0.7,33,优,60
3月3日,1,抚州,6,26,16,24,5,10,0.79,55,优,58
3月3日,1,九江,7,62,44,46,8,17,0.48,59,良,289
3月3日,1,景德镇,8,19,13,16,5,8,0.56,36,优,16
3月3日,1,萍乡,9,23,14,19,5,15,0.95,36,优,31
3月3日,1,新余,10,24,14,24,6,15,0.73,54,优,40
3月3日,1,鹰潭,11,36,25,15,12,15,0.62,38,优,121
3月4日,1,南昌,1,76,56,74,7,25,0.76,63,良,336
3月4日,1,赣州,2,19,10,16,5,10,1.11,51,优,33
3月4日,1,宜春,3,22,9,16,4,7,0.58,65,优,39
3月4日,1,吉安,4,49,31,53,10,16,0.74,45,优,240
3月4日,1,上饶,5,30,19,28,3,12,0.71,53,优,87
3月4日,1,抚州,6,38,26,37,5,12,0.83,51,优,149
3月4日,1,九江,7,79,58,64,10,20,0.53,69,良,344
3月4日,1,景德镇,8,32,21,29,4,8,0.59,50,优,104
3月4日,1,萍乡,9,44,30,42,10,19,1.05,31,优,204
3月4日,1,新余,10,44,28,46,9,16,0.65,53,优,208
3月4日,1,鹰潭,11,41,28,20,11,14,0.58,50,优,174
3月5日,1,南昌,1,61,43,59,4,20,0.53,71,良,267
3月5日,1,赣州,2,29,20,27,5,11,1.06,50,优,68
3月5日,1,宜春,3,25,15,20,5,12,0.59,56,优,51
3月5日,1,吉安,4,49,29,51,10,18,0.69,43,优,187
3月5日,1,上饶,5,49,32,49,5,12,0.53,72,优,194
3月5日,1,抚州,6,43,28,43,6,16,0.67,64,优,151
3月5日,1,九江,7,102,76,85,10,22,0.61,78,轻度污染,359
3月5日,1,景德镇,8,49,32,48,6,15,0.55,54,优,188
3月5日,1,萍乡,9,70,50,66,13,21,0.97,48,良,318
3月5日,1,新余,10,53,35,56,14,18,0.61,55,良,220
3月5日,1,鹰潭,11,56,39,33,14,13,0.48,69,良,240
3月6日,1,南昌,1,40,27,33,8,28,0.6,28,优,106
3月6日,1,赣州,2,34,20,34,6,16,1.15,37,优,71
3月6日,1,宜春,3,28,17,21,6,10,0.62,63,优,25
3月6日,1,吉安,4,45,27,47,11,22,0.71,22,优,143
3月6日,1,上饶,5,44,28,44,10,24,0.61,44,优,134
3月6日,1,抚州,6,28,17,28,5,20,0.64,31,优,26
3月6日,1,九江,7,49,35,39,8,32,0.48,26,优,169
3月6日,1,景德镇,8,33,20,33,5,17,0.44,41,优,58
3月6日,1,萍乡,9,34,23,28,8,26,1,21,优,68
3月6日,1,新余,10,31,20,31,4,23,0.68,24,优,47
3月6日,1,鹰潭,11,52,36,28,25,22,0.61,33,良,190
3月7日,1,南昌,1,25,16,24,4,23,0.65,28,优,18
3月7日,1,赣州,2,33,18,33,10,17,1.11,43,优,58
3月7日,1,宜春,3,54,39,48,11,12,0.99,90,良,164
3月7日,1,吉安,4,24,11,23,10,28,0.86,8,优,17
3月7日,1,上饶,5,42,27,40,16,28,0.84,14,优,102
3月7日,1,抚州,6,27,17,27,6,25,0.79,19,优,26
3月7日,1,九江,7,48,33,37,9,25,0.63,34,优,128
3月7日,1,景德镇,8,21,12,18,5,12,0.57,33,优,10
3月7日,1,萍乡,9,17,9,14,9,27,1.31,7,优,5
3月7日,1,新余,10,31,19,31,14,29,0.94,12,优,44
3月7日,1,鹰潭,11,45,32,26,54,28,0.78,21,优,113
3月8日,1,南昌,1,29,18,28,4,26,0.68,22,优,35
3月8日,1,赣州,2,33,17,33,7,14,1.22,40,优,59
3月8日,1,宜春,3,78,57,65,9,16,1.01,89,良,246
3月8日,1,吉安,4,27,11,27,8,24,0.76,24,优,25
3月8日,1,上饶,5,44,28,44,9,19,0.8,32,优,117
3月8日,1,抚州,6,31,19,31,6,20,0.9,27,优,49
3月8日,1,九江,7,75,55,51,12,31,0.89,30,良,236
3月8日,1,景德镇,8,21,12,19,5,11,0.71,32,优,9
3月8日,1,萍乡,9,29,19,27,12,20,1.57,22,优,36
3月8日,1,新余,10,40,23,41,14,22,0.8,28,优,99
3月8日,1,鹰潭,11,68,49,35,35,22,0.92,30,良,207
3月9日,1,南昌,1,24,16,21,4,16,0.68,53,优,27
3月9日,1,赣州,2,25,12,23,7,9,1.16,57,优,35
3月9日,1,宜春,3,35,22,24,4,12,0.65,59,优,111
3月9日,1,吉安,4,27,14,27,8,24,0.92,23,优,48
3月9日,1,上饶,5,28,16,28,6,16,0.77,34,优,60
3月9日,1,抚州,6,24,15,23,6,15,0.84,49,优,28
3月9日,1,九江,7,64,46,44,8,21,0.43,56,良,260
3月9日,1,景德镇,8,18,8,14,6,10,0.68,50,优,7
3月9日,1,萍乡,9,28,18,25,9,18,1.14,34,优,58
3月9日,1,新余,10,23,13,22,7,21,0.99,26,优,22
3月9日,1,鹰潭,11,34,22,18,17,18,0.7,46,优,109
3月10日,1,南昌,1,55,39,49,4,18,0.67,94,良,219
3月10日,1,赣州,2,33,17,29,5,9,1.05,91,优,84
3月10日,1,宜春,3,24,15,18,7,12,0.73,53,优,16
3月10日,1,吉安,4,39,22,37,7,15,0.62,93,优,118
3月10日,1,上饶,5,47,33,42,9,14,0.8,71,优,167
