日期,类型,城市名,id,AQI,PM2.5,PM10,SO2,NO2,CO,O3,等级,排名
9月1日,1,南昌,1,46,28,47,7,19,0.6,89,优,246
9月1日,1,赣州,2,49,32,50,14,10,1.07,109,优,269
9月1日,1,宜春,3,21,10,21,6,9,0.58,17,优,13
9月1日,1,吉安,4,57,32,64,17,14,0.73,103,良,312
9月1日,1,上饶,5,36,22,35,2,10,0.63,72,优,156
9月1日,1,抚州,6,40,24,41,7,9,0.77,76,优,192
9月1日,1,九江,7,55,35,47,8,16,0.57,100,良,302
9月1日,1,景德镇,8,25,12,24,5,8,0.63,58,优,46
9月1日,1,萍乡,9,55,26,62,27,22,1.11,90,良,303
9月1日,1,新余,10,57,34,63,21,17,0.67,89,良,314
9月1日,1,鹰潭,11,39,26,31,11,13,0.57,75,优,185
9月2日,1,南昌,1,25,14,21,4,19,0.53,64,优,84
9月2日,1,赣州,2,34,22,32,8,10,1.13,74,优,149
9月2日,1,宜春,3,16,8,14,6,7,0.42,25,优,9
9月2日,1,吉安,4,43,24,43,9,12,0.74,69,优,207
9月2日,1,上饶,5,23,12,23,3,11,0.57,55,优,61
9月2日,1,抚州,6,24,12,22,5,6,0.61,64,优,74
9月2日,1,九江,7,27,18,16,7,12,0.43,65,优,101
9月2日,1,景德镇,8,15,6,11,5,9,0.66,40,优,6
9月2日,1,萍乡,9,30,15,26,9,17,0.9,74,优,123
9月2日,1,新余,10,34,20,34,11,12,0.57,65,优,147
9月2日,1,鹰潭,11,26,17,20,10,14,0.48,56,优,94
9月3日,1,南昌,1,28,14,24,5,21,0.6,64,优,83
9月3日,1,赣州,2,35,23,34,7,8,1.01,65,优,140
9月3日,1,宜春,3,16,8,14,6,8,0.5,23,优,5
9月3日,1,吉安,4,44,24,45,14,12,0.78,64,优,218
9月3日,1,上饶,5,29,11,29,3,16,0.57,39,优,99
9月3日,1,抚州,6,29,15,29,5,8,0.69,52,优,102
9月3日,1,九江,7,27,13,18,8,12,0.5,81,优,73
9月3日,1,景德镇,8,20,7,20,7,9,0.65,26,优,14
9月3日,1,萍乡,9,33,13,29,12,16,1.04,73,优,130
9月3日,1,新余,10,38,19,37,13,12,0.59,67,优,155
9月3日,1,鹰潭,11,34,23,27,12,16,0.45,42,优,137
9月4日,1,南昌,1,34,15,31,5,20,0.67,77,优,107
9月4日,1,赣州,2,35,22,35,8,8,0.99,74,优,115
9月4日,1,宜春,3,28,17,24,8,9,0.81,45,优,62
9月4日,1,吉安,4,48,25,49,14,17,0.66,59,优,226
9月4日,1,上饶,5,39,22,39,4,15,0.48,61,优,144
9月4日,1,抚州,6,33,17,32,6,9,0.69,59,优,104
9月4日,1,九江,7,37,22,28,8,14,0.58,84,优,126
9月4日,1,景德镇,8,18,7,17,6,6,0.66,34,优,14
9月4日,1,萍乡,9,42,15,38,17,19,1.07,86,优,177
9月4日,1,新余,10,36,17,36,15,14,0.64,74,优,123
9月4日,1,鹰潭,11,38,24,34,19,16,0.45,56,优,140
9月5日,1,南昌,1,36,20,34,4,18,0.73,81,优,139
9月5日,1,赣州,2,40,24,39,10,14,1.03,64,优,177
9月5日,1,宜春,3,34,19,27,8,12,0.91,58,优,119
9月5日,1,吉安,4,49,25,51,13,12,0.67,79,优,229
9月5日,1,上饶,5,37,22,36,5,13,0.46,56,优,151
9月5日,1,抚州,6,37,22,36,5,8,0.8,78,优,146
9月5日,1,九江,7,56,40,47,10,16,0.8,80,良,272
9月5日,1,景德镇,8,20,9,19,8,10,0.73,38,优,23
9月5日,1,萍乡,9,46,15,43,16,22,0.87,84,优,212
9月5日,1,新余,10,41,21,41,15,14,0.65,80,优,185
9月5日,1,鹰潭,11,42,29,36,17,16,0.53,66,优,187
9月6日,1,南昌,1,45,27,43,5,18,0.73,89,优,188
9月6日,1,赣州,2,43,25,43,9,14,1.08,79,优,176
9月6日,1,宜春,3,27,14,22,6,10,0.55,43,优,61
9月6日,1,吉安,4,52,31,55,13,13,0.59,96,良,230
9月6日,1,上饶,5,40,18,40,5,20,0.47,52,优,160
9月6日,1,抚州,6,49,33,48,5,11,0.87,80,优,215
9月6日,1,九江,7,46,28,35,9,15,0.62,82,优,198
9月6日,1,景德镇,8,32,17,32,8,14,0.83,48,优,96
9月6日,1,萍乡,9,55,23,60,16,24,0.89,84,良,250
9月6日,1,新余,10,48,27,49,13,12,0.64,92,优,206
9月6日,1,鹰潭,11,40,28,35,8,15,0.5,67,优,155
9月7日,1,南昌,1,50,23,49,6,25,0.58,100,优,194
9月7日,1,赣州,2,56,33,62,15,24,1.16,78,良,225
9月7日,1,宜春,3,22,14,20,7,9,0.64,37,优,17
9月7日,1,吉安,4,65,39,75,15,20,0.64,98,良,267
9月7日,1,上饶,5,50,27,52,20,18,0.6,84,优,195
9月7日,1,抚州,6,57,35,59,16,19,0.77,90,良,227
9月7日,1,九江,7,47,26,45,10,20,0.62,100,优,166
9月7日,1,景德镇,8,40,22,37,9,15,0.66,67,优,124
9月7日,1,萍乡,9,80,39,86,25,35,1.6,120,良,317
9月7日,1,新余,10,61,37,65,19,19,0.83,101,良,252
9月7日,1,鹰潭,11,47,29,39,6,16,0.54,98,优,176
9月8日,1,南昌,1,58,29,66,8,31,0.63,96,良,194
9月8日,1,赣州,2,65,39,65,14,23,1.15,91,良,226
9月8日,1,宜春,3,21,6,9,5,4,0.39,66,优,30
9月8日,1,吉安,4,64,43,77,15,16,0.74,107,良,219
9月8日,1,上饶,5,52,29,54,9,22,0.54,87,良,167
9月8日,1,抚州,6,57,35,61,6,17,0.74,103,良,188
9月8日,1,九江,7,69,44,69,12,25,0.71,121,良,237
9月8日,1,景德镇,8,47,26,47,9,17,0.63,62,优,137
9月8日,1,萍乡,9,74,37,81,26,30,1.39,109,良,261
9月8日,1,新余,10,64,40,71,30,19,0.72,112,良,218
9月8日,1,鹰潭,11,57,37,52,8,17,0.55,103,良,190
9月9日,1,南昌,1,61,35,72,8,32,0.67,97,良,243
9月9日,1,赣州,2,63,40,64,18,20,1.18,89,良,247
9月9日,1,宜春,3,19,10,17,6,5,0.26,52,优,21
9月9日,1,吉安,4,62,39,74,15,13,0.74,109,良,246
9月9日,1,上饶,5,64,38,67,15,19,0.58,113,良,253
9月9日,1,抚州,6,60,38,67,7,16,0.75,107,良,238
9月9日,1,九江,7,83,52,78,14,20,0.81,143,良,328
9月9日,1,景德镇,8,54,31,58,9,18,0.75,73,良,216
9月9日,1,萍乡,9,71,39,81,31,27,1.47,123,良,277
9月9日,1,新余,10,63,42,76,32,17,0.66,108,良,250
9月9日,1,鹰潭,11,72,45,62,14,20,0.66,109,良,284
9月10日,1,南昌,1,64,39,78,8,26,0.77,116,良,299
9月10日,1,赣州,2,51,31,50,12,14,1.06,89,良,231
9月10日,1,宜春,3,15,9,13,6,5,0.31,27,优,13
9月10日,1,吉安,4,58,37,65,15,14,0.88,93,良,273
9月10日,1,上饶,5,71,48,76,10,20,0.65,117,良,324
9月10日,1,抚州,6,61,42,71,8,17,0.75,106,良,289
9月10日,1,九江,7,72,46,70,14,21,0.74,133,良,330
9月10日,1,景德镇,8,58,37,65,8,18,0.78,78,良,269
9月10日,1,萍乡,9,69,40,80,27,27,1.34,104,良,314
9月10日,1,新余,10,67,46,81,30,21,0.73,110,良,309
9月10日,1,鹰潭,11,76,53,73,20,23,0.75,111,良,339
9月11日,1,南昌,1,60,36,71,7,27,0.78,110,良,308
9月11日,1,赣州,2,42,23,41,8,15,0.94,96,优,224
9月11日,1,宜春,3,17,9,14,5,8,0.31,26,优,23
9月11日,1,吉安,4,54,33,57,10,14,0.81,103,良,288
9月11日,1,上饶,5,62,43,71,11,21,0.61,107,良,314
9月11日,1,抚州,6,64,43,75,9,17,0.73,106,良,322
9月11日,1,九江,7,64,42,64,12,19,0.6,128,良,321
9月11日,1,景德镇,8,57,37,65,8,20,0.74,78,良,301
9月11日,1,萍乡,9,65,34,67,18,23,1.18,97,良,324
9月11日,1,新余,10,70,47,84,30,21,0.71,115,良,339
9月11日,1,鹰潭,11,73,51,70,12,21,0.69,109,良,349
9月12日,1,南昌,1,67,44,81,6,26,0.85,118,良,334
9月12日,1,赣州,2,51,32,54,14,18,1.01,74,良,275
9月12日,1,宜春,3,19,8,16,8,10,0.62,31,优,30
9月12日,1,吉安,4,66,43,77,17,21,0.86,98,良,331
9月12日,1,上饶,5,59,41,64,7,16,0.53,117,良,310
9月12日,1,抚州,6,66,45,71,12,12,0.77,127,良,330
9月12日,1,九江,7,85,57,78,11,19,0.86,141,良,360
9月12日,1,景德镇,8,58,38,64,7,16,0.82,83,良,308
9月12日,1,萍乡,9,65,38,71,21,25,1.28,95,良,326
9月12日,1,新余,10,67,45,78,24,21,0.78,121,良,336
9月12日,1,鹰潭,11,65,46,65,10,17,0.57,111,良,328
9月13日,1,南昌,1,61,40,71,7,21,0.76,105,良,321
